Year: 2008  Month: 09  ID: BPT  ARGOS:  8921  Name: Bonaparte Point     
Lat: 64.78S  Lon:  64.07W  Elev:    8m
2008 252  9  8 0700    0.5 1001.2   15.2  287.0   79.4   -3.0
2008 252  9  8 0800    0.9 1000.6   14.5  291.0   79.0   -2.8
2008 252  9  8 0900    0.4  998.5   15.0  292.0   83.0   -3.2
2008 252  9  8 1000    0.4  997.1   12.6  287.0   89.2   -3.8
2008 252  9  8 1100    0.5  996.2   12.7  289.0   90.0   -4.3
2008 252  9  8 1200    1.0  996.9   10.5  261.0   82.3   -3.2
2008 252  9  8 1300    0.2  444.0    8.1  264.0   90.9   -3.3
2008 252  9  8 1400    1.2  997.4    7.0  257.0   84.5   -2.6
2008 252  9  8 1500    0.8  996.5   10.6  262.0   88.0   -3.1
2008 252  9  8 1600    0.6  444.0    9.6  250.0   89.0   -2.5
2008 252  9  8 1700    0.7  444.0    9.4  260.0   86.3   -2.5
2008 252  9  8 1800    0.7  444.0    8.1  258.0  444.0   -2.2
2008 252  9  8 1900  444.0  444.0  444.0  444.0  444.0  444.0
2008 252  9  8 2000    0.6  444.0    7.8  256.0   88.5   -1.7
2008 252  9  8 2100   -1.6  444.0    9.6  210.0  444.0  444.0
2008 252  9  8 2200   -1.9  983.6   10.9  223.0   94.0   -2.4
2008 252  9  8 2300   -2.2  983.9    8.9  222.0   96.0   -2.2
2008 253  9  9 0000   -2.4  982.8    6.2  230.0   94.2   -2.9
2008 253  9  9 0100   -2.7  981.9    5.8  228.0   93.5   -4.1
2008 253  9  9 0200   -3.0  982.2    4.8  224.0   96.0   -3.7
2008 253  9  9 0300   -3.0  982.2    2.7  223.0   95.8   -3.9
2008 253  9  9 0400   -2.8  982.0    3.2  234.0   86.4   -3.6
2008 253  9  9 0500   -3.3  444.0    1.4  244.0  444.0  444.0
2008 253  9  9 0600   -4.6  971.8    1.2  333.0   76.5   -2.4
2008 253  9  9 0700   -4.0  974.2    2.1  296.0  444.0   -2.3
2008 253  9  9 0800   -3.8  977.7    3.2  337.0   71.0   -2.2
2008 253  9  9 0900   -3.1  978.9    1.5  343.0   69.0   -2.3
2008 253  9  9 1000   -2.6  979.4    0.8   49.0   62.6   -2.3
2008 253  9  9 1100   -3.4  981.9    3.7  337.0   63.0   -2.0
2008 253  9  9 1200   -1.7  988.5    1.9  352.0  444.0   -1.8
2008 253  9  9 1300    0.3  994.3    1.8  347.0  444.0   -2.1
2008 253  9  9 1400   -0.2  444.0    6.3   25.0   65.3   -2.1
2008 253  9  9 1500    0.2  444.0    3.9   40.0   63.0   -1.9
