Year: 2012  Month: 10  ID: HUG  ARGOS:  8935  Name: Hugo Island         
Lat: 64.96S  Lon:  64.67W  Elev:   25m
2012 287 10 13 0500   -2.2  962.5   10.3  311.0   95.0  444.0
2012 287 10 13 0600   -2.3  962.5   10.8  305.0   90.0  444.0
2012 287 10 13 0700   -2.9  962.1   11.9  302.0   92.0  444.0
2012 287 10 13 0800   -3.0  962.7   11.2  298.0   89.0  444.0
2012 287 10 13 0900   -3.3  962.5   10.8  294.0   83.0  444.0
2012 287 10 13 1000   -3.3  963.2   11.5  298.0   88.0  444.0
2012 287 10 13 1100   -3.2  963.7   10.9  287.0   81.3  444.0
2012 287 10 13 1200   -3.1  964.7    8.6  287.0   83.0  444.0
2012 287 10 13 1300   -3.2  965.9    8.3  290.0   84.4  444.0
2012 287 10 13 1400   -2.3  966.4   11.8  281.0   89.0  444.0
2012 287 10 13 1500   -2.5  967.3   14.7  276.0   83.0  444.0
2012 287 10 13 1600   -2.7  968.3   15.5  275.0   86.0  444.0
2012 287 10 13 1700   -3.7  969.9   16.1  272.0   82.7  444.0
2012 287 10 13 1800   -5.4  972.5   14.9  263.0   77.0  444.0
2012 287 10 13 1900   -4.9  973.9   15.4  267.0   79.0  444.0
2012 287 10 13 2000   -4.7  974.9   15.3  268.0   71.0  444.0
2012 287 10 13 2100   -4.6  975.9   12.2  282.0   68.3  444.0
2012 287 10 13 2200   -4.6  976.8    7.7  268.0   72.0  444.0
2012 287 10 13 2300   -4.6  976.8    1.5  240.0   72.8  444.0
2012 288 10 14 0000   -5.7  975.7    7.8  101.0   89.0  444.0
2012 288 10 14 0100   -4.9  973.9   10.4   83.0   92.0  444.0
2012 288 10 14 0200   -4.1  972.1   11.6   73.0   94.0  444.0
2012 288 10 14 0300   -1.7  971.1   14.1  312.0   95.0  444.0
2012 288 10 14 0400   -1.6  970.4   16.9  311.0   95.0  444.0
2012 288 10 14 0500   -1.9  970.6   16.8  301.0   84.0  444.0
2012 288 10 14 0600   -1.8  970.6   16.4  300.0   81.0  444.0
2012 288 10 14 0700   -2.0  971.2   12.8  295.0   84.1  444.0
2012 288 10 14 0800   -3.0  972.0    8.2  291.0   87.0  444.0
2012 288 10 14 0900   -2.3  971.6   12.9  292.0   77.0  444.0
2012 288 10 14 1000   -2.4  971.5   12.8  297.0   75.0  444.0
2012 288 10 14 1100   -2.5  971.0   12.7  293.0   74.2  444.0
2012 288 10 14 1200   -2.5  970.9   14.6  293.0   81.5  444.0
2012 288 10 14 1300   -2.5  970.6   12.9  297.0   73.0  444.0
2012 288 10 14 1400   -2.9  971.1   11.6  293.0   76.7  444.0
2012 288 10 14 1500   -3.0  971.0   10.1  286.0   77.0  444.0
2012 288 10 14 1600   -2.6  970.6   10.0  279.0  444.0  444.0
2012 288 10 14 1700   -3.4  971.0    9.8  285.0   77.8  444.0
2012 288 10 14 1800   -3.0  970.5   10.7  276.0   72.0  444.0
2012 288 10 14 1900   -3.4  970.6    9.6  268.0   76.0  444.0
2012 288 10 14 2000   -5.7  971.9    9.9  222.0   86.0  444.0
2012 288 10 14 2100   -6.4  972.3   10.3  228.0   76.0  444.0
2012 288 10 14 2200   -7.6  973.2   13.8  234.0   71.0  444.0
2012 288 10 14 2300   -9.6  973.7   16.0  243.0   81.0  444.0
2012 289 10 15 0000  -10.8  444.0   18.4  262.0   78.8  444.0
2012 289 10 15 0100  -12.1  977.4   13.5  255.0   77.0  444.0
2012 289 10 15 0200  -12.7  978.2   14.1  256.0   77.0  444.0
2012 289 10 15 0300  -12.9  979.8   13.6  247.0   79.0  444.0
2012 289 10 15 0400  -13.0  981.3   13.8  241.0   73.0  444.0
2012 289 10 15 0500  -13.3  982.4   14.4  240.0   75.0  444.0
2012 289 10 15 0600  -13.3  983.9   13.3  245.0   82.0  444.0
2012 289 10 15 0700  -13.4  985.2   14.1  246.0   84.0  444.0
2012 289 10 15 0800  -13.1  986.7   13.7  242.0   79.0  444.0
2012 289 10 15 0900  -13.4  988.9   12.2  243.0   83.0  444.0
2012 289 10 15 1000  -13.5  990.2   12.6  253.0   79.3  444.0
2012 289 10 15 1100  -13.8  991.7   10.6  243.0   71.0  444.0
2012 289 10 15 1200  -13.5  992.2    9.9  238.0   68.0  444.0
2012 289 10 15 1300  -13.2  993.3    7.7  240.0   67.0  444.0
2012 289 10 15 1400  -12.8  993.7    6.5  250.0   65.9  444.0
2012 289 10 15 1500  -12.1  993.8    6.8  265.0   67.3  444.0
2012 289 10 15 1600  -11.4  994.0    3.3  241.0   71.0  444.0
2012 289 10 15 1700  -10.8  993.8    1.4  204.0   72.0  444.0
2012 289 10 15 1800  -10.5  993.1    4.1  112.0   77.0  444.0
2012 289 10 15 1900  -10.0  992.0    7.8   96.0   83.0  444.0
2012 289 10 15 2000   -8.9  990.9    8.6   74.0   85.7  444.0
2012 289 10 15 2100   -7.6  989.1   11.1   70.0   88.0  444.0
2012 289 10 15 2200   -5.3  987.3   11.7   59.0   92.0  444.0
2012 289 10 15 2300   -2.2  985.8   12.5  334.0   93.0  444.0
2012 290 10 16 0000   -2.1  985.5   11.8  340.0   92.0  444.0
2012 290 10 16 0100   -2.0  983.7   11.6  344.0   92.0  444.0
2012 290 10 16 0200   -1.9  981.9   12.4  350.0   91.7  444.0
2012 290 10 16 0300   -1.9  980.6   10.6  343.0   92.0  444.0
2012 290 10 16 0400   -2.1  978.9   10.4  359.0   93.0  444.0
2012 290 10 16 0500   -2.0  977.1    9.8  358.0   93.0  444.0
2012 290 10 16 0600   -2.0  975.1    9.9  353.0   92.9  444.0
2012 290 10 16 0700   -2.1  973.2   10.2  347.0   93.6  444.0
2012 290 10 16 0800   -2.1  971.9   10.1  348.0   93.0  444.0
2012 290 10 16 0900   -2.1  970.7    9.4  354.0   93.0  444.0
