Year: 2010  Month: 02  ID: CDN  ARGOS:  8988  Name: Cape Denison        
Lat: 67.01S  Lon: 142.67E  Elev:   31m
2010  43  2 12 1300   -5.6  994.0  444.0  444.0   73.4  444.0
2010  43  2 12 1400   -5.5  994.1  444.0  444.0   72.5  444.0
2010  43  2 12 1500   -5.2  994.5  444.0  444.0   73.8  444.0
2010  43  2 12 1600   -5.0  994.4  444.0  444.0   73.8  444.0
2010  43  2 12 1700   -5.0  994.8  444.0  444.0   71.2  444.0
2010  43  2 12 1800   -5.2  995.0  444.0  444.0   70.7  444.0
2010  43  2 12 1900   -5.0  995.6  444.0  444.0   76.0  444.0
2010  43  2 12 2000   -6.0  995.9  444.0  444.0   73.4  444.0
2010  43  2 12 2100   -6.9  996.5  444.0  444.0   73.8  444.0
2010  43  2 12 2200   -7.2  996.3  444.0  444.0   72.5  444.0
2010  43  2 12 2300   -7.4  996.2  444.0  444.0   75.6  444.0
2010  44  2 13 0000   -7.4  997.3  444.0  444.0   72.0  444.0
2010  44  2 13 0100   -7.1  996.7  444.0  444.0   72.9  444.0
2010  44  2 13 0200   -6.5  996.4  444.0  444.0   72.0  444.0
2010  44  2 13 0300   -6.0  996.1  444.0  444.0   68.1  444.0
2010  44  2 13 0400   -5.8  996.3  444.0  444.0   68.1  444.0
2010  44  2 13 0500   -5.8  996.4  444.0  444.0   65.4  444.0
2010  44  2 13 0600   -5.6  996.2  444.0  444.0   64.6  444.0
2010  44  2 13 0700   -5.8  996.5  444.0  444.0   59.7  444.0
2010  44  2 13 0800   -6.4  996.7  444.0  444.0   59.3  444.0
2010  44  2 13 0900   -5.4  998.0  444.0  444.0   53.6  444.0
2010  44  2 13 1000   -6.1  997.0  444.0  444.0   57.5  444.0
2010  44  2 13 1100   -7.2  996.2  444.0  444.0   56.6  444.0
2010  44  2 13 1200   -7.8  996.1  444.0  444.0   54.4  444.0
2010  44  2 13 1300   -7.9  995.8  444.0  444.0   55.8  444.0
2010  44  2 13 1400   -8.5  995.5  444.0  444.0   58.4  444.0
2010  44  2 13 1500   -9.0  994.6  444.0  444.0   55.8  444.0
2010  44  2 13 1600   -9.8  994.0  444.0  444.0   54.9  444.0
2010  44  2 13 1700  -10.2  993.8  444.0  444.0   57.1  444.0
2010  44  2 13 1800  -10.5  994.0  444.0  444.0   51.8  444.0
2010  44  2 13 1900  -11.1  994.5  444.0  444.0   55.3  444.0
2010  44  2 13 2000   -9.8  994.1  444.0  444.0   54.9  444.0
2010  44  2 13 2100   -9.6  994.1  444.0  444.0   48.3  444.0
2010  44  2 13 2200  -10.0  994.0  444.0  444.0   58.0  444.0
2010  44  2 13 2300   -9.8  994.8  444.0  444.0   57.5  444.0
2010  45  2 14 0000   -8.4  995.3  444.0  444.0   59.3  444.0
2010  45  2 14 0100   -7.4  994.9  444.0  444.0   58.0  444.0
2010  45  2 14 0200   -6.8  995.1  444.0  444.0   64.1  444.0
2010  45  2 14 0300   -6.4  994.9  444.0  444.0   59.3  444.0
2010  45  2 14 0400   -5.4  995.1  444.0  444.0   61.9  444.0
2010  45  2 14 0500   -5.2  994.8  444.0  444.0   61.9  444.0
2010  45  2 14 0600   -5.2  994.7  444.0  444.0   61.9  444.0
2010  45  2 14 0700   -4.8  994.4  444.0  444.0   60.2  444.0
2010  45  2 14 0800   -4.4  994.2  444.0  444.0   51.4  444.0
2010  45  2 14 0900   -5.2  994.0  444.0  444.0   53.6  444.0
2010  45  2 14 1000   -5.5  993.2  444.0  444.0   56.6  444.0
2010  45  2 14 1100   -6.0  992.3  444.0  444.0   54.4  444.0
2010  45  2 14 1200   -5.8  992.0  444.0  444.0   56.2  444.0
2010  45  2 14 1300   -6.8  990.9  444.0  444.0   64.1  444.0
