Year: 2001  Month: 10  ID: RAC  ARGOS:  8947  Name: Racer Rock          
Lat: 64.07S  Lon:  61.60W  Elev:   17m
2001 287 10 14 2200   -2.9  994.3   11.5   34.0  444.0  444.0
2001 287 10 14 2300   -2.5  993.3   12.0   48.0  444.0  444.0
2001 288 10 15 0000   -1.4  990.6   17.5   45.0  444.0  444.0
2001 288 10 15 0100  444.0  444.0  444.0  444.0  444.0  444.0
2001 288 10 15 0200   -2.9  984.0   19.0   30.0  444.0  444.0
2001 288 10 15 0300   -1.9  981.3   16.0   15.0  444.0  444.0
2001 288 10 15 0400  444.0  444.0  444.0  444.0  444.0  444.0
2001 288 10 15 0500   -1.4  980.5   12.8  307.0  444.0  444.0
2001 288 10 15 0600   -1.1  979.7   17.0  307.0  444.0  444.0
2001 288 10 15 0700   -1.4  980.3   17.2  321.0  444.0  444.0
2001 288 10 15 0800   -0.6  980.8   13.2  315.0  444.0  444.0
2001 288 10 15 0900  444.0  444.0  444.0  444.0  444.0  444.0
2001 288 10 15 1000   -0.5  981.0   14.0  315.0  444.0  444.0
2001 288 10 15 1100   -1.8  980.6   16.0  326.0  444.0  444.0
2001 288 10 15 1200   -3.2  981.2   16.8  309.0  444.0  444.0
2001 288 10 15 1300  -13.6  981.7   17.2  302.0  444.0  444.0
2001 288 10 15 1400  444.0  444.0  444.0  444.0  444.0  444.0
2001 288 10 15 1500  -18.4  983.2   16.5  309.0  444.0  444.0
2001 288 10 15 1600  -17.8  983.2   17.2  315.0  444.0  444.0
2001 288 10 15 1700  -17.1  983.8   10.5  326.0  444.0  444.0
2001 288 10 15 1800  444.0  444.0  444.0  444.0  444.0  444.0
2001 288 10 15 1900  -20.2  981.8   12.8   41.0  444.0  444.0
2001 288 10 15 2000  -26.1  980.5   11.5   18.0  444.0  444.0
2001 288 10 15 2100  -24.6  978.6   15.0   44.0  444.0  444.0
2001 288 10 15 2200  -26.6  976.5   16.5   32.0  444.0  444.0
2001 288 10 15 2300  444.0  444.0  444.0  444.0  444.0  444.0
2001 289 10 16 0000  -23.5  973.4   15.5  339.0  444.0  444.0
2001 289 10 16 0100  -23.1  973.5   20.8  298.0  444.0  444.0
2001 289 10 16 0200  -21.0  973.6   16.8  287.0  444.0  444.0
2001 289 10 16 0300  -22.8  973.9   15.5  333.0  444.0  444.0
2001 289 10 16 0400  444.0  974.7   15.5  302.0  444.0  444.0
2001 289 10 16 0500  -25.5  975.5   13.5  305.0  444.0  444.0
2001 289 10 16 0600  444.0  975.6   14.2  292.0  444.0  444.0
2001 289 10 16 0700  -27.2  976.6   15.0  291.0  444.0  444.0
2001 289 10 16 0800  -24.9  977.4   13.8  311.0  444.0  444.0
2001 289 10 16 0900  -22.2  978.3   12.8  300.0  444.0  444.0
2001 289 10 16 1000  -22.2  978.5   12.0  316.0  444.0  444.0
2001 289 10 16 1100  -23.5  980.0    5.2  325.0  444.0  444.0
2001 289 10 16 1200  444.0  444.0  444.0  444.0  444.0  444.0
2001 289 10 16 1300  -23.6  980.7    7.2  353.0  444.0  444.0
