Year: 2009  Month: 07  ID: MPT  ARGOS:  8906  Name: Marble Point        
Lat: 77.44S  Lon: 163.76E  Elev:  108m
2009 191  7 10 0100  -31.9 1003.6    1.0  262.0  444.0  444.0
2009 191  7 10 0200  -31.4 1003.8    1.2  218.0  444.0  444.0
2009 191  7 10 0300  -30.5 1003.6    2.2  235.0  444.0  444.0
2009 191  7 10 0400  -32.5 1003.3    0.0    0.0  444.0  444.0
2009 191  7 10 0500  -30.8 1002.7    1.0  243.0  444.0  444.0
2009 191  7 10 0600  -30.2 1002.1    1.7  250.0  444.0  444.0
2009 191  7 10 0700  -31.1 1001.3    2.5  264.0  444.0  444.0
2009 191  7 10 0800  -30.8 1000.7    0.0    0.0  444.0  444.0
2009 191  7 10 0900  -29.9 1000.1    1.7  252.0  444.0  444.0
2009 191  7 10 1000  -31.6  998.9    1.2  112.0  444.0  444.0
2009 191  7 10 1100  -32.8  997.8    1.7  302.0  444.0  444.0
2009 191  7 10 1200  -32.6  996.0    3.9  301.0  444.0  444.0
2009 191  7 10 1300  -32.5  994.2    7.4  301.0  444.0  444.0
2009 191  7 10 1400  -32.2  993.2    4.2  311.0  444.0  444.0
2009 191  7 10 1500  -32.1  992.6    1.0  276.0  444.0  444.0
2009 191  7 10 1600  -31.6  991.6    3.7  252.0  444.0  444.0
2009 191  7 10 1700  -32.5  991.4    4.2  141.0  444.0  444.0
2009 191  7 10 1800  -34.0  991.8    6.6  128.0  444.0  444.0
2009 191  7 10 1900  -31.5  991.2    9.1  143.0  444.0  444.0
2009 191  7 10 2000  -31.1  991.3    4.4  149.0  444.0  444.0
2009 191  7 10 2100  -31.1  990.6    6.6  158.0  444.0  444.0
2009 191  7 10 2200  -30.5  990.9    2.0  139.0  444.0  444.0
2009 191  7 10 2300  -30.9  990.6    2.2  239.0  444.0  444.0
2009 192  7 11 0000  -31.4  990.1    1.5  236.0  444.0  444.0
2009 192  7 11 0100  -32.1  989.0    2.5  122.0  444.0  444.0
2009 192  7 11 0200  -32.6  989.0    3.2  143.0  444.0  444.0
2009 192  7 11 0300  -32.1  988.9    3.2  142.0  444.0  444.0
