Year: 2004  Month: 02  ID: PGS  ARGOS:  8937  Name: Pegasus South       
Lat: 77.99S  Lon: 166.57E  Elev:    5m
2004  38  2  7 0400   -6.5 1007.3    6.9  172.0  444.0  444.0
2004  38  2  7 0500   -7.2 1007.2    5.8   91.0  444.0  444.0
2004  38  2  7 0600   -7.8 1007.3    5.3  129.0  444.0  444.0
2004  38  2  7 0700   -7.4 1007.5    2.5  149.0  444.0  444.0
2004  38  2  7 0800   -7.9 1007.1    6.1  141.0  444.0  444.0
2004  38  2  7 0900   -8.0 1007.6    4.8  145.0  444.0  444.0
2004  38  2  7 1000   -9.1 1007.7    6.4  156.0  444.0  444.0
2004  38  2  7 1100   -9.1 1007.9    7.4  143.0  444.0  444.0
2004  38  2  7 1200  -10.4 1007.9    4.6  155.0  444.0  444.0
2004  38  2  7 1300  -11.5 1008.1    1.0   97.0  444.0  444.0
2004  38  2  7 1400  -15.0 1008.5    1.3   11.0  444.0  444.0
2004  38  2  7 1500  -15.6 1008.7    2.8   20.0  444.0  444.0
2004  38  2  7 1600  -16.0 1008.6    1.8   34.0  444.0  444.0
2004  38  2  7 1700  -15.2 1008.9    2.0   20.0  444.0  444.0
2004  38  2  7 1800  -14.0 1009.0    1.8   14.0  444.0  444.0
2004  38  2  7 1900  -15.5 1009.1    3.3   22.0  444.0  444.0
2004  38  2  7 2000  -14.8 1009.3    2.8   20.0  444.0  444.0
2004  38  2  7 2100  -12.4 1009.3    3.3   31.0  444.0  444.0
2004  38  2  7 2200  -12.1 1009.5    2.5   49.0  444.0  444.0
2004  38  2  7 2300  -12.4 1009.5    1.3   30.0  444.0  444.0
2004  39  2  8 0000  -11.5 1009.1    1.5   13.0  444.0  444.0
2004  39  2  8 0100  -11.1 1009.0    3.3   51.0  444.0  444.0
2004  39  2  8 0200   -9.6 1008.7    2.8   44.0  444.0  444.0
2004  39  2  8 0300   -9.5 1008.5    4.1   42.0  444.0  444.0
2004  39  2  8 0400  -10.5 1008.3    3.8   45.0  444.0  444.0
2004  39  2  8 0500  -10.5 1008.0    3.6   56.0  444.0  444.0
2004  39  2  8 0600   -9.6 1008.0    3.3   46.0  444.0  444.0
2004  39  2  8 0700  -11.1 1007.7    2.5   82.0  444.0  444.0
2004  39  2  8 0800  -11.8 1007.5    4.1   49.0  444.0  444.0
2004  39  2  8 0900  -12.0 1007.6    3.8   39.0  444.0  444.0
2004  39  2  8 1000  -12.1 1007.4    3.8   53.0  444.0  444.0
2004  39  2  8 1100  -12.5 1007.2    4.3   72.0  444.0  444.0
2004  39  2  8 1200  -12.5 1006.5    5.1   75.0  444.0  444.0
2004  39  2  8 1300  -12.6 1006.0    4.6   83.0  444.0  444.0
2004  39  2  8 1400  -12.9 1005.6    4.3   53.0  444.0  444.0
2004  39  2  8 1500  -13.0 1005.0    4.6   55.0  444.0  444.0
2004  39  2  8 1600  -13.5 1004.5    4.3   45.0  444.0  444.0
2004  39  2  8 1700  -14.5 1004.1    3.3   51.0  444.0  444.0
2004  39  2  8 1800  -13.8 1003.6    3.6   63.0  444.0  444.0
2004  39  2  8 1900  -12.4 1003.1    2.8   58.0  444.0  444.0
2004  39  2  8 2000  -11.0 1002.5    2.3   49.0  444.0  444.0
2004  39  2  8 2100   -9.0 1001.6    3.8   49.0  444.0  444.0
2004  39  2  8 2200   -8.8 1000.7    3.0   48.0  444.0  444.0
2004  39  2  8 2300  444.0  444.0  444.0  444.0  444.0  444.0
2004  40  2  9 0000   -5.6  999.6    1.3   48.0  444.0  444.0
2004  40  2  9 0100   -7.0  998.7    2.5   52.0  444.0  444.0
2004  40  2  9 0200   -8.0  997.9    3.0   41.0  444.0  444.0
2004  40  2  9 0300   -7.1  997.5    3.6   60.0  444.0  444.0
2004  40  2  9 0400   -7.6  997.2    3.3   76.0  444.0  444.0
2004  40  2  9 0500   -7.6  997.0    3.0   55.0  444.0  444.0
2004  40  2  9 0600   -7.2  997.0    3.0   69.0  444.0  444.0
2004  40  2  9 0700   -9.6  996.8    1.8   41.0  444.0  444.0
2004  40  2  9 0800   -7.9  996.7    2.3   62.0  444.0  444.0
2004  40  2  9 0900   -8.1  996.5    1.0  146.0  444.0  444.0
2004  40  2  9 1000   -9.2  996.5    1.5   39.0  444.0  444.0
2004  40  2  9 1100   -9.4  996.4    1.8   28.0  444.0  444.0
2004  40  2  9 1200   -9.1  996.4    1.5   35.0  444.0  444.0
2004  40  2  9 1300   -8.6  996.5    0.0    0.0  444.0  444.0
2004  40  2  9 1400   -8.9  996.4    0.8   86.0  444.0  444.0
2004  40  2  9 1500   -7.4  996.3    0.0    0.0  444.0  444.0
2004  40  2  9 1600   -7.8  996.1    0.0    0.0  444.0  444.0
2004  40  2  9 1700   -8.1  996.0    1.0   28.0  444.0  444.0
2004  40  2  9 1800   -7.8  995.9    1.8   45.0  444.0  444.0
2004  40  2  9 1900   -8.4  995.9    3.6   70.0  444.0  444.0
2004  40  2  9 2000  -10.4  995.8    4.6   48.0  444.0  444.0
2004  40  2  9 2100  444.0  444.0  444.0  444.0  444.0  444.0
2004  40  2  9 2200  -11.2  996.4    6.4   49.0  444.0  444.0
2004  40  2  9 2300  444.0  444.0  444.0  444.0  444.0  444.0
2004  41  2 10 0000  -11.2  996.1    6.9   53.0  444.0  444.0
2004  41  2 10 0100  -11.2  995.8    6.1   52.0  444.0  444.0
2004  41  2 10 0200  444.0  444.0  444.0  444.0  444.0  444.0
2004  41  2 10 0300  -11.2  995.7    5.3   53.0  444.0  444.0
2004  41  2 10 0400  -11.8  995.4    5.1   69.0  444.0  444.0
2004  41  2 10 0500  -12.4  994.9    4.6   56.0  444.0  444.0
2004  41  2 10 0600  -12.5  994.8    4.8   53.0  444.0  444.0
2004  41  2 10 0700  -13.0  994.6    4.3   62.0  444.0  444.0
2004  41  2 10 0800  -13.6  994.3    3.8   60.0  444.0  444.0
2004  41  2 10 0900  -13.6  994.0    4.1   62.0  444.0  444.0
2004  41  2 10 1000  -14.1  993.6    7.6   52.0  444.0  444.0
2004  41  2 10 1100  -15.4  993.4    6.6   53.0  444.0  444.0
2004  41  2 10 1200  -16.2  993.3    5.6   70.0  444.0  444.0
2004  41  2 10 1300  -16.9  993.1    5.8   49.0  444.0  444.0
2004  41  2 10 1400  -15.9  993.0    3.0   56.0  444.0  444.0
2004  41  2 10 1500  -15.9  993.0    3.8   68.0  444.0  444.0
2004  41  2 10 1600  -15.9  992.8    3.6   73.0  444.0  444.0
2004  41  2 10 1700  -16.0  992.8    3.8   72.0  444.0  444.0
2004  41  2 10 1800  -16.1  993.0    3.8   73.0  444.0  444.0
2004  41  2 10 1900  444.0  444.0  444.0  444.0  444.0  444.0
2004  41  2 10 2000  -17.2  993.1    5.1   58.0  444.0  444.0
2004  41  2 10 2100  -16.6  993.3    5.1   55.0  444.0  444.0
2004  41  2 10 2200  -15.2  993.2    5.3   52.0  444.0  444.0
2004  41  2 10 2300  -16.2  993.3    4.6   77.0  444.0  444.0
2004  42  2 11 0000  444.0  444.0  444.0  444.0  444.0  444.0
2004  42  2 11 0100  -17.6  993.2    5.6   69.0  444.0  444.0
2004  42  2 11 0200  444.0  444.0  444.0  444.0  444.0  444.0
2004  42  2 11 0300  -16.8  993.1    4.8   62.0  444.0  444.0
2004  42  2 11 0400  -16.5  993.1    4.6   49.0  444.0  444.0
2004  42  2 11 0500  444.0  444.0  444.0  444.0  444.0  444.0
2004  42  2 11 0600  -15.2  993.0    2.8   38.0  444.0  444.0
2004  42  2 11 0700  444.0  444.0  444.0  444.0  444.0  444.0
2004  42  2 11 0800  -15.9  992.7    2.5   65.0  444.0  444.0
2004  42  2 11 0900  444.0  444.0  444.0  444.0  444.0  444.0
2004  42  2 11 1000  -19.2  992.8    2.0   77.0  444.0  444.0
2004  42  2 11 1100  -19.8  992.8    1.5   91.0  444.0  444.0
2004  42  2 11 1200  444.0  444.0  444.0  444.0  444.0  444.0
2004  42  2 11 1300  -21.2  993.3    2.5   84.0  444.0  444.0
2004  42  2 11 1400  -20.4  993.4    1.8   83.0  444.0  444.0
2004  42  2 11 1500  -19.5  993.5    2.5   69.0  444.0  444.0
2004  42  2 11 1600  -20.2  993.8    1.5   93.0  444.0  444.0
2004  42  2 11 1700  444.0  444.0  444.0  444.0  444.0  444.0
2004  42  2 11 1800  -17.5  994.6    2.5   41.0  444.0  444.0
2004  42  2 11 1900  -17.6  994.8    2.3   41.0  444.0  444.0
2004  42  2 11 2000  -16.5  995.1    2.0   69.0  444.0  444.0
2004  42  2 11 2100  -15.5  995.4    4.6   38.0  444.0  444.0
2004  42  2 11 2200  444.0  444.0  444.0  444.0  444.0  444.0
2004  42  2 11 2300  -14.8  995.5    3.6   58.0  444.0  444.0
2004  43  2 12 0000  444.0  444.0  444.0  444.0  444.0  444.0
2004  43  2 12 0100  -14.9  995.8    3.0   91.0  444.0  444.0
2004  43  2 12 0200  -12.4  995.6    0.5   79.0  444.0  444.0
2004  43  2 12 0300  -10.4  995.5    0.3   41.0  444.0  444.0
2004  43  2 12 0400   -9.6  995.3    1.0   62.0  444.0  444.0
2004  43  2 12 0500  444.0  444.0  444.0  444.0  444.0  444.0
2004  43  2 12 0600  -11.1  994.8    0.5   28.0  444.0  444.0
2004  43  2 12 0700  -12.9  994.6    1.0   68.0  444.0  444.0
2004  43  2 12 0800  444.0  994.7    0.0    0.0  444.0  444.0
2004  43  2 12 0900  -14.9  994.6    1.0   66.0  444.0  444.0
2004  43  2 12 1000  444.0  444.0  444.0  444.0  444.0  444.0
2004  43  2 12 1100  -18.5  994.6    3.8   60.0  444.0  444.0
2004  43  2 12 1200  -20.6  994.8    3.0   45.0  444.0  444.0
2004  43  2 12 1300  -21.5  995.2    2.3   84.0  444.0  444.0
2004  43  2 12 1400  -20.0  995.0    2.5   69.0  444.0  444.0
2004  43  2 12 1500  444.0  444.0  444.0  444.0  444.0  444.0
2004  43  2 12 1600  -22.5  995.4    1.3  148.0  444.0  444.0
2004  43  2 12 1700  -21.6  995.5    0.0    0.0  444.0  444.0
2004  43  2 12 1800  -19.8  995.5    0.0    0.0  444.0  444.0
2004  43  2 12 1900  444.0  995.5    0.0    0.0  444.0  444.0
2004  43  2 12 2000  -18.1  995.5    1.3   18.0  444.0  444.0
2004  43  2 12 2100  -17.8  995.6    2.0   34.0  444.0  444.0
2004  43  2 12 2200  -17.1  995.5    2.0   52.0  444.0  444.0
2004  43  2 12 2300  444.0  995.5    1.0   32.0  444.0  444.0
2004  44  2 13 0000  444.0  995.4    1.0   41.0  444.0  444.0
2004  44  2 13 0100  -13.5  995.0    1.0   72.0  444.0  444.0
2004  44  2 13 0200  -12.6  994.9    1.5   80.0  444.0  444.0
2004  44  2 13 0300  -11.4  994.8    1.5   72.0  444.0  444.0
2004  44  2 13 0400  -12.4  994.7    2.8   58.0  444.0  444.0
2004  44  2 13 0500  -12.0  995.0    3.0   35.0  444.0  444.0
2004  44  2 13 0600  -14.1  995.4    4.8   53.0  444.0  444.0
2004  44  2 13 0700  -14.8  995.7    3.8   42.0  444.0  444.0
2004  44  2 13 0800  -15.0  995.8    3.8   37.0  444.0  444.0
2004  44  2 13 0900  -15.5  996.5    4.3   30.0  444.0  444.0
2004  44  2 13 1000  -17.6  996.9    3.3   51.0  444.0  444.0
2004  44  2 13 1100  -19.1  997.0    2.5   68.0  444.0  444.0
2004  44  2 13 1200  -20.6  997.4    1.5  155.0  444.0  444.0
2004  44  2 13 1300  -20.5  997.6    1.3  128.0  444.0  444.0
2004  44  2 13 1400  -21.5  997.7    0.8  117.0  444.0  444.0
2004  44  2 13 1500  -20.2  997.9    0.8  187.0  444.0  444.0
2004  44  2 13 1600  -18.2  998.1    0.0    0.0  444.0  444.0
2004  44  2 13 1700  -20.6  998.5    1.5  356.0  444.0  444.0
2004  44  2 13 1800  -18.4  998.8    0.0    0.0  444.0  444.0
2004  44  2 13 1900  -19.5  999.3    2.5   31.0  444.0  444.0
2004  44  2 13 2000  -19.2  999.6    2.5   60.0  444.0  444.0
2004  44  2 13 2100  -17.1  999.6    2.5   41.0  444.0  444.0
2004  44  2 13 2200  -15.0  999.9    2.3   96.0  444.0  444.0
2004  44  2 13 2300  -12.4 1000.1    0.8  101.0  444.0  444.0
2004  45  2 14 0000  -12.4 1000.2    0.5   15.0  444.0  444.0
2004  45  2 14 0100  -11.1 1000.2    0.5   27.0  444.0  444.0
2004  45  2 14 0200  444.0  999.8    0.8   21.0  444.0  444.0
2004  45  2 14 0300  -11.1  999.9    1.5   42.0  444.0  444.0
2004  45  2 14 0400  -12.0  999.8    3.0   44.0  444.0  444.0
2004  45  2 14 0500  -12.4  999.7    3.6   32.0  444.0  444.0
2004  45  2 14 0600  -13.0  999.9    3.3   41.0  444.0  444.0
2004  45  2 14 0700  -14.0  999.8    2.5   77.0  444.0  444.0
2004  45  2 14 0800  -15.1  999.8    2.0   44.0  444.0  444.0
2004  45  2 14 0900  -16.1  999.6    1.5   68.0  444.0  444.0
2004  45  2 14 1000  -17.6  999.5    1.3   91.0  444.0  444.0
2004  45  2 14 1100  -15.5  999.2    0.8   58.0  444.0  444.0
2004  45  2 14 1200  -16.4  999.2    4.3   70.0  444.0  444.0
2004  45  2 14 1300  -14.5  999.1    4.6   60.0  444.0  444.0
2004  45  2 14 1400  -14.8  998.8    4.1   75.0  444.0  444.0
2004  45  2 14 1500  -15.0  998.5    6.6   63.0  444.0  444.0
2004  45  2 14 1600  -15.0  998.4    5.8   69.0  444.0  444.0
2004  45  2 14 1700  -14.9  998.1    4.1   55.0  444.0  444.0
2004  45  2 14 1800  -15.2  997.5    3.6   65.0  444.0  444.0
2004  45  2 14 1900  -14.8  997.2    3.8   73.0  444.0  444.0
2004  45  2 14 2000  -13.8  996.9    3.0   60.0  444.0  444.0
2004  45  2 14 2100  -12.6  996.7    2.8   55.0  444.0  444.0
2004  45  2 14 2200  -11.8  996.8    3.3   39.0  444.0  444.0
2004  45  2 14 2300  -10.2  996.6    1.3   32.0  444.0  444.0
