Year: 2004  Month: 02  ID: DIS  ARGOS:  8932  Name: Dismal Island       
Lat: 68.09S  Lon:  68.83W  Elev:   10m
2004  39  2  8 0800    2.0  983.9    8.0   70.0   93.7  444.0
2004  39  2  8 0900  444.0  444.0  444.0  444.0  444.0  444.0
2004  39  2  8 1000    2.3  444.0   10.0   70.0  444.0  444.0
2004  39  2  8 1100  444.0  444.0  444.0  444.0  444.0  444.0
2004  39  2  8 1200    2.9  977.7   15.3   71.0   92.4  444.0
2004  39  2  8 1300  444.0  444.0  444.0  444.0  444.0  444.0
2004  39  2  8 1400    2.2  975.6   14.3   71.0   92.0  444.0
2004  39  2  8 1500    1.4  444.0   14.5   71.0   92.0  444.0
2004  39  2  8 1600    1.3  973.5   10.8   71.0   92.4  444.0
2004  39  2  8 1700  444.0  444.0  444.0  444.0  444.0  444.0
2004  39  2  8 1800  444.0  444.0  444.0  444.0  444.0  444.0
2004  39  2  8 1900  444.0  444.0  444.0  444.0  444.0  444.0
2004  39  2  8 2000    2.2  444.0   15.1   60.0   91.9  444.0
2004  39  2  8 2100  444.0  444.0  444.0  444.0  444.0  444.0
2004  39  2  8 2200  444.0  444.0  444.0  444.0  444.0  444.0
2004  39  2  8 2300  444.0  444.0  444.0  444.0  444.0  444.0
2004  40  2  9 0000  444.0  444.0  444.0  444.0  444.0  444.0
2004  40  2  9 0100  444.0  444.0  444.0  444.0  444.0  444.0
2004  40  2  9 0200  444.0  974.9   10.1   59.0   92.9  444.0
2004  40  2  9 0300  444.0  444.0    9.8   59.0  444.0  444.0
2004  40  2  9 0400    1.7  974.9   10.1   59.0   93.1  444.0
2004  40  2  9 0500    1.6  444.0    8.9   59.0   93.3  444.0
2004  40  2  9 0600    1.7  974.9    7.1   58.0   93.2  444.0
2004  40  2  9 0700    1.7  974.9  444.0  444.0   93.6  444.0
2004  40  2  9 0800    1.7  444.0    7.0   59.0   93.6  444.0
2004  40  2  9 0900  444.0  444.0  444.0  444.0  444.0  444.0
2004  40  2  9 1000  444.0  444.0    3.5   90.0  444.0  444.0
2004  40  2  9 1100  444.0  444.0  444.0  444.0  444.0  444.0
2004  40  2  9 1200    1.9  975.6    7.5   60.0  444.0  444.0
2004  40  2  9 1300    2.9  444.0    5.9   70.0   93.4  444.0
2004  40  2  9 1400  444.0  444.0  444.0  444.0  444.0  444.0
2004  40  2  9 1500    2.9  444.0    1.8   88.0   92.3  444.0
2004  40  2  9 1600  444.0  444.0  444.0  444.0  444.0  444.0
2004  40  2  9 1700  444.0  444.0  444.0  444.0  444.0  444.0
2004  40  2  9 1800  444.0  444.0  444.0  444.0  444.0  444.0
2004  40  2  9 1900  444.0  444.0  444.0  444.0  444.0  444.0
2004  40  2  9 2000  444.0  444.0  444.0  444.0  444.0  444.0
2004  40  2  9 2100  444.0  444.0  444.0  444.0  444.0  444.0
2004  40  2  9 2200  444.0  444.0  444.0  444.0  444.0  444.0
