Year: 2011  Month: 04  ID: FE2  ARGOS:  8947  Name: Ferrell II          
Lat: 77.85S  Lon: 170.82E  Elev:   45m
2011 101  4 11 0800  -23.9  970.8    8.4    9.0   80.0  444.0
2011 101  4 11 0900  -23.3  973.0    8.6  344.0   82.9  444.0
2011 101  4 11 1000  -23.4  975.2    4.5  348.0   82.0  444.0
2011 101  4 11 1100  -23.1  976.3    5.3   41.0   80.4  444.0
2011 101  4 11 1200  -24.9  977.6    6.6    8.0   79.0  444.0
2011 101  4 11 1300  -25.0  979.0    6.9  354.0   80.0  444.0
2011 101  4 11 1400  -23.0  981.1    5.7  343.0   82.4  444.0
2011 101  4 11 1500  -21.0  982.8    3.1    4.0   83.0  444.0
2011 101  4 11 1600  -23.0  984.6    3.1   45.0   81.0  444.0
2011 101  4 11 1700  -21.6  986.0    1.3  352.0   83.0  444.0
2011 101  4 11 1800  -21.6  987.1    1.1   28.0   83.0  444.0
2011 101  4 11 1900  -26.0  988.3    2.0  203.0   80.0  444.0
2011 101  4 11 2000  -25.9  989.7    3.6  172.0   79.0  444.0
2011 101  4 11 2100  -28.3  990.6    3.0  165.0   75.8  444.0
2011 101  4 11 2200  -28.1  991.1    1.8  165.0   77.0  444.0
2011 101  4 11 2300  -26.9  991.7    5.0  167.0   78.0  444.0
2011 102  4 12 0000  -25.0  991.8    8.6  182.0   79.0  444.0
2011 102  4 12 0100  -24.1  992.0    7.8  185.0   81.0  444.0
2011 102  4 12 0200  -23.8  992.3    6.6  192.0   81.0  444.0
2011 102  4 12 0300  -23.3  992.4    7.9  193.0   81.0  444.0
2011 102  4 12 0400  -23.8  992.1    8.0  192.0   80.7  444.0
2011 102  4 12 0500  -24.5  992.1    6.9  200.0   80.0  444.0
2011 102  4 12 0600  -24.2  992.4    7.9  194.0   81.0  444.0
2011 102  4 12 0700  -22.1  991.7   10.1  197.0   83.0  444.0
2011 102  4 12 0800  -22.9  991.3   11.6  202.0   82.0  444.0
2011 102  4 12 0900  -21.9  991.6   11.0  198.0   83.9  444.0
2011 102  4 12 1000  -21.1  991.2   12.8  194.0   83.0  444.0
2011 102  4 12 1100  -21.6  991.0   14.7  196.0   83.0  444.0
2011 102  4 12 1200  -21.2  991.0   13.5  199.0   83.0  444.0
2011 102  4 12 1300  -21.4  990.3   13.7  199.0   84.0  444.0
2011 102  4 12 1400  -20.6  989.8   15.4  200.0   84.1  444.0
2011 102  4 12 1500  -20.0  990.0   16.7  196.0   84.0  444.0
2011 102  4 12 1600  -20.0  989.7   15.2  197.0   84.0  444.0
2011 102  4 12 1700  -19.9  989.4   14.8  199.0   84.0  444.0
2011 102  4 12 1800  -19.9  989.1   12.6  196.0   84.0  444.0
2011 102  4 12 1900  -20.0  988.6   13.8  193.0   84.0  444.0
2011 102  4 12 2000  -20.3  988.6   13.7  194.0   84.0  444.0
2011 102  4 12 2100  -20.5  988.1   12.5  194.0   83.0  444.0
2011 102  4 12 2200  -21.8  987.8   11.9  193.0   81.8  444.0
2011 102  4 12 2300  -22.5  987.4   10.4  191.0   80.0  444.0
2011 103  4 13 0000  -23.4  986.6   11.5  197.0   80.0  444.0
2011 103  4 13 0100  -22.2  985.6   13.1  197.0   82.0  444.0
2011 103  4 13 0200  -21.2  985.1   13.8  200.0   82.1  444.0
2011 103  4 13 0300  -20.5  984.2   14.3  201.0   83.0  444.0
2011 103  4 13 0400  -19.9  983.6   15.1  199.0   83.0  444.0
2011 103  4 13 0500  -20.0  983.0   14.2  202.0   83.0  444.0
2011 103  4 13 0600  -19.6  982.7   15.8  196.0   84.0  444.0
2011 103  4 13 0700  -19.5  981.1   16.0  204.0   83.5  444.0
2011 103  4 13 0800  -19.0  980.5   16.1  205.0   84.0  444.0
2011 103  4 13 0900  -18.3  979.9   16.8  205.0   85.0  444.0
2011 103  4 13 1000  -18.4  979.1   17.3  206.0   85.0  444.0
2011 103  4 13 1100  -18.6  977.9   18.3  208.0   85.0  444.0
2011 103  4 13 1200  -18.3  976.8   16.3  216.0   85.4  444.0
2011 103  4 13 1300  -17.6  976.0   16.4  219.0   86.0  444.0
2011 103  4 13 1400  -16.1  975.3   16.8  218.0   87.8  444.0
2011 103  4 13 1500  -15.2  974.3   16.6  219.0   88.0  444.0
2011 103  4 13 1600  -14.5  972.7   18.3  215.0   89.0  444.0
2011 103  4 13 1700  -14.4  970.6   21.0  205.0   89.0  444.0
2011 103  4 13 1800  -14.1  969.4   23.7  200.0   89.7  444.0
2011 103  4 13 1900  -13.1  968.5   22.8  197.0   90.0  444.0
2011 103  4 13 2000  -12.4  968.2   21.7  195.0   91.0  444.0
2011 103  4 13 2100  -11.7  968.7   19.2  194.0   91.0  444.0
2011 103  4 13 2200  -11.4  968.6   19.8  192.0   92.0  444.0
2011 103  4 13 2300  -11.1  968.5   18.9  190.0   92.0  444.0
2011 104  4 14 0000  -10.5  969.4   13.8  191.0   93.0  444.0
2011 104  4 14 0100   -9.4  970.1   10.2  186.0   94.0  444.0
2011 104  4 14 0200   -8.3  971.3    6.1  178.0   95.0  444.0
