Year: 2011  Month: 08  ID: FSB  ARGOS:  8920  Name: Fossil Bluff        
Lat: 71.34S  Lon:  68.29W  Elev:   63m
2011 223  8 11 0500  -18.3  976.2    3.0  220.0   77.9  444.0
2011 223  8 11 0600  444.0  444.0  444.0  444.0  444.0  444.0
2011 223  8 11 0700  -18.4  976.6    6.2  190.0   79.7  444.0
2011 223  8 11 0800  -18.6  976.4    9.1  192.0   80.4  444.0
2011 223  8 11 0900  -18.7  976.6    8.4  193.0   81.2  444.0
2011 223  8 11 1000  -18.9  976.8    8.0  184.0   82.4  444.0
2011 223  8 11 1100  444.0  444.0  444.0  444.0  444.0  444.0
2011 223  8 11 1200  -19.1  977.7    4.8  191.0   84.5  444.0
2011 223  8 11 1300  -19.4  978.2    4.9  192.0   85.6  444.0
2011 223  8 11 1400  -20.0  978.7    5.1  208.0   83.8  444.0
2011 223  8 11 1500  444.0  444.0  444.0  444.0  444.0  444.0
2011 223  8 11 1600  -21.7  979.4    4.1  184.0   84.8  444.0
2011 223  8 11 1700  444.0  444.0  444.0  444.0  444.0  444.0
2011 223  8 11 1800  -24.4  979.8    2.1  332.0   82.1  444.0
2011 223  8 11 1900  -22.5  980.5  444.0  444.0   81.0  444.0
2011 223  8 11 2000  -20.5  980.7    2.7  225.0   74.1  444.0
2011 223  8 11 2100  -20.3  981.8    7.1  204.0   73.9  444.0
2011 223  8 11 2200  444.0  444.0  444.0  444.0  444.0  444.0
2011 223  8 11 2300  -20.1  983.5    4.4  188.0   71.2  444.0
2011 224  8 12 0000  -23.0  983.9    5.8  211.0   72.7  444.0
2011 224  8 12 0100  -23.0  985.4    3.2  212.0   75.0  444.0
2011 224  8 12 0200  -23.6  986.4    2.1  329.0   74.3  444.0
2011 224  8 12 0300  -23.5  986.6    3.4  209.0  444.0  444.0
2011 224  8 12 0400  -25.5  987.8    2.0  334.0   79.2  444.0
2011 224  8 12 0500  -27.0  988.3    1.3  322.0   78.4  444.0
2011 224  8 12 0600  -25.8  988.7    0.5  344.0   82.0  444.0
2011 224  8 12 0700  -26.6  989.1    1.3  183.0   78.0  444.0
2011 224  8 12 0800  -26.1  989.2    1.1  129.0   77.8  444.0
2011 224  8 12 0900  -28.0  990.0    1.4  322.0   78.1  444.0
2011 224  8 12 1000  -29.0  990.2    1.4  331.0   78.5  444.0
2011 224  8 12 1100  -30.0  990.8    1.5  327.0   75.2  444.0
2011 224  8 12 1200  -30.3  990.7    3.4  339.0   75.7  444.0
2011 224  8 12 1300  -29.3  990.9    1.4  278.0   75.7  444.0
2011 224  8 12 1400  -26.2  991.5    1.1  204.0   80.5  444.0
2011 224  8 12 1500  444.0  444.0  444.0  444.0  444.0  444.0
2011 224  8 12 1600  -26.9  991.5    2.3  332.0   78.2  444.0
2011 224  8 12 1700  -29.1  992.2    0.6  171.0   76.5  444.0
2011 224  8 12 1800  -28.2  992.2    1.3  322.0   77.6  444.0
2011 224  8 12 1900  -26.2  992.8    0.9  219.0   78.9  444.0
2011 224  8 12 2000  444.0  444.0  444.0  444.0  444.0  444.0
2011 224  8 12 2100  -28.2  993.7    1.1  198.0   76.8  444.0
2011 224  8 12 2200  -29.0  994.2    0.6  186.0   76.5  444.0
2011 224  8 12 2300  -28.1  994.2    1.7  348.0   75.8  444.0
2011 225  8 13 0000  -28.6  994.6    1.4  205.0   77.2  444.0
2011 225  8 13 0100  -28.0  994.8    2.2  335.0   76.5  444.0
2011 225  8 13 0200  -27.4  995.2    0.2  328.0   78.0  444.0
2011 225  8 13 0300  -27.5  995.2    1.2  334.0   76.1  444.0
2011 225  8 13 0400  -28.6  995.6    1.6  321.0   77.3  444.0
2011 225  8 13 0500  -26.8  995.3    0.5  326.0   77.9  444.0
2011 225  8 13 0600  -25.2  995.4    1.2  307.0   80.1  444.0
2011 225  8 13 0700  -23.2  995.2    0.3  107.0   79.4  444.0
2011 225  8 13 0800  -23.9  995.3    1.5  352.0   79.6  444.0
2011 225  8 13 0900  -23.2  995.4    1.1   25.0   77.8  444.0
