Year: 2013  Month: 09  ID: HUG  ARGOS:  8935  Name: Hugo Island         
Lat: 64.96S  Lon:  64.67W  Elev:   25m
2013 253  9 10 0500  -26.1  981.7  444.0  444.0   73.0  444.0
2013 253  9 10 0600  -25.7  982.5  444.0  444.0   74.0  444.0
2013 253  9 10 0700  -27.0  983.2  444.0  444.0   73.5  444.0
2013 253  9 10 0800  -26.4  983.3  444.0  444.0   73.0  444.0
2013 253  9 10 0900  -25.5  983.4  444.0  444.0   76.0  444.0
2013 253  9 10 1000  -24.8  983.8  444.0  444.0   76.0  444.0
2013 253  9 10 1100  -24.0  983.8  444.0  444.0   76.4  444.0
2013 253  9 10 1200  -24.6  983.7  444.0  444.0   74.2  444.0
2013 253  9 10 1300  -24.0  984.1  444.0  444.0   71.0  444.0
2013 253  9 10 1400  -23.8  984.1  444.0  444.0   73.9  444.0
2013 253  9 10 1500  -23.2  983.8  444.0  444.0   74.0  444.0
2013 253  9 10 1600  -22.5  983.7  444.0  444.0   75.0  444.0
2013 253  9 10 1700  -22.3  983.8  444.0  444.0   75.0  444.0
2013 253  9 10 1800  -22.1  983.5  444.0  444.0   74.3  444.0
2013 253  9 10 1900  -21.9  983.5  444.0  444.0   75.0  444.0
2013 253  9 10 2000  -21.2  982.7  444.0  444.0   74.0  444.0
2013 253  9 10 2100  -21.9  983.0  444.0  444.0   73.0  444.0
2013 253  9 10 2200  -21.8  982.7  444.0  444.0   75.0  444.0
2013 253  9 10 2300  -21.8  982.8  444.0  444.0   76.1  444.0
2013 254  9 11 0000  -21.9  982.3  444.0  444.0   76.0  444.0
2013 254  9 11 0100  -21.6  981.9  444.0  444.0   76.0  444.0
2013 254  9 11 0200  -20.7  980.7  444.0  444.0   78.0  444.0
2013 254  9 11 0300  -20.6  980.1  444.0  444.0   78.0  444.0
2013 254  9 11 0400  -20.9  979.4  444.0  444.0   77.7  444.0
2013 254  9 11 0500  -21.0  978.9  444.0  444.0   78.0  444.0
2013 254  9 11 0600  -20.8  978.1  444.0  444.0   79.0  444.0
2013 254  9 11 0700  -20.8  977.1  444.0  444.0   81.0  444.0
2013 254  9 11 0800  -21.1  976.5  444.0  444.0   81.0  444.0
2013 254  9 11 0900  -21.0  975.7  444.0  444.0   81.0  444.0
2013 254  9 11 1000  -21.3  975.0  444.0  444.0   81.0  444.0
2013 254  9 11 1100  -21.1  974.9  444.0  444.0   79.0  444.0
2013 254  9 11 1200  -21.1  975.0  444.0  444.0   81.0  444.0
2013 254  9 11 1300  -21.4  975.5  444.0  444.0   81.0  444.0
2013 254  9 11 1400  -21.9  976.0  444.0  444.0   77.0  444.0
2013 254  9 11 1500  -21.9  976.0  444.0  444.0   73.9  444.0
2013 254  9 11 1600  -22.4  976.5  444.0  444.0   72.0  444.0
2013 254  9 11 1700  -21.9  977.1  444.0  444.0   70.0  444.0
2013 254  9 11 1800  -22.1  977.9  444.0  444.0   70.0  444.0
2013 254  9 11 1900  -22.4  978.4  444.0  444.0   70.0  444.0
2013 254  9 11 2000  -24.1  978.8  444.0  444.0   71.1  444.0
2013 254  9 11 2100  -25.3  980.0  444.0  444.0   69.4  444.0
2013 254  9 11 2200  -25.8  981.0  444.0  444.0   69.0  444.0
2013 254  9 11 2300  -25.3  981.9  444.0  444.0   70.0  444.0
2013 255  9 12 0000  -24.8  983.5  444.0  444.0   71.0  444.0
