Year: 2016  Month: 11  ID: PGN  ARGOS:  9508  Name: PEGASUS NORTH       
Lat: 77.96S  Lon: 166.51E  Elev:    8m
2016 312 11  7 1100  444.0  444.0  444.0  444.0  444.0  444.0
2016 312 11  7 1200  444.0  444.0  444.0  444.0  444.0  444.0
2016 312 11  7 1300  444.0  444.0  444.0  444.0  444.0  444.0
2016 312 11  7 1400  444.0  444.0  444.0  444.0  444.0  444.0
2016 312 11  7 1500  444.0  444.0  444.0  444.0  444.0  444.0
2016 312 11  7 1600  444.0  444.0  444.0  444.0  444.0  444.0
2016 312 11  7 1700  444.0  444.0  444.0  444.0  444.0  444.0
2016 312 11  7 1800  444.0  444.0  444.0  444.0  444.0  444.0
2016 312 11  7 1900  444.0  444.0  444.0  444.0  444.0  444.0
2016 312 11  7 2000  444.0  444.0  444.0  444.0  444.0  444.0
2016 312 11  7 2100  444.0  444.0  444.0  444.0  444.0  444.0
2016 312 11  7 2200  444.0  444.0  444.0  444.0  444.0  444.0
2016 312 11  7 2300  444.0  444.0  444.0  444.0  444.0  444.0
2016 313 11  8 0000  444.0  444.0  444.0  444.0  444.0  444.0
2016 313 11  8 0100  444.0  444.0  444.0  444.0  444.0  444.0
2016 313 11  8 0200  444.0  444.0  444.0  444.0  444.0  444.0
2016 313 11  8 0300  444.0  444.0  444.0  444.0  444.0  444.0
2016 313 11  8 0400  444.0  444.0  444.0  444.0  444.0  444.0
2016 313 11  8 0500  444.0  444.0  444.0  444.0  444.0  444.0
2016 313 11  8 0600  444.0  444.0  444.0  444.0  444.0  444.0
2016 313 11  8 0700  444.0  444.0  444.0  444.0  444.0  444.0
2016 313 11  8 0800  444.0  444.0  444.0  444.0  444.0  444.0
2016 313 11  8 0900  444.0  444.0  444.0  444.0  444.0  444.0
2016 313 11  8 1000  444.0  444.0  444.0  444.0  444.0  444.0
2016 313 11  8 1100  444.0  444.0  444.0  444.0  444.0  444.0
2016 313 11  8 1200  444.0  444.0  444.0  444.0  444.0  444.0
2016 313 11  8 1300  444.0  444.0  444.0  444.0  444.0  444.0
2016 313 11  8 1400  444.0  444.0  444.0  444.0  444.0  444.0
2016 313 11  8 1500  444.0  444.0  444.0  444.0  444.0  444.0
2016 313 11  8 1600  444.0  444.0  444.0  444.0  444.0  444.0
2016 313 11  8 1700  444.0  444.0  444.0  444.0  444.0  444.0
2016 313 11  8 1800  444.0  444.0  444.0  444.0  444.0  444.0
2016 313 11  8 1900  444.0  444.0  444.0  444.0  444.0  444.0
2016 313 11  8 2000  444.0  444.0  444.0  444.0  444.0  444.0
2016 313 11  8 2100  444.0  444.0  444.0  444.0  444.0  444.0
2016 313 11  8 2200  444.0  444.0  444.0  444.0  444.0  444.0
2016 313 11  8 2300  444.0  444.0  444.0  444.0  444.0  444.0
2016 314 11  9 0000  444.0  444.0  444.0  444.0  444.0  444.0
2016 314 11  9 0100  444.0  444.0  444.0  444.0  444.0  444.0
2016 314 11  9 0200  444.0  444.0  444.0  444.0  444.0  444.0
2016 314 11  9 0300  444.0  444.0  444.0  444.0  444.0  444.0
2016 314 11  9 0400  444.0  444.0  444.0  444.0  444.0  444.0
2016 314 11  9 0500  444.0  444.0  444.0  444.0  444.0  444.0
2016 314 11  9 0600  444.0  444.0  444.0  444.0  444.0  444.0
2016 314 11  9 0700  444.0  444.0  444.0  444.0  444.0  444.0
2016 314 11  9 0800  444.0  444.0  444.0  444.0  444.0  444.0
2016 314 11  9 0900  444.0  444.0  444.0  444.0  444.0  444.0
2016 314 11  9 1000  444.0  444.0  444.0  444.0  444.0  444.0
2016 314 11  9 1100  444.0  444.0  444.0  444.0  444.0  444.0
2016 314 11  9 1200  444.0  444.0  444.0  444.0  444.0  444.0
2016 314 11  9 1300  444.0  444.0  444.0  444.0  444.0  444.0
