Year: 2002  Month: 08  ID: CSP  ARGOS:  8695  Name: Cape Spencer        
Lat: 77.96S  Lon: 167.54E  Elev:   23m
2002 222  8 10 1200  -44.2  985.4    4.7  221.0   62.0  444.0
2002 222  8 10 1300  -45.6  985.4    2.5  316.0   60.3  444.0
2002 222  8 10 1400  -45.4  985.4    2.5  262.0   61.2  444.0
2002 222  8 10 1500  -40.2  985.4    1.6  305.0   66.6  444.0
2002 222  8 10 1600  -39.8  985.2    4.5  356.0   68.3  444.0
2002 222  8 10 1700  -34.8  985.1    1.8  347.0   74.2  444.0
2002 222  8 10 1800  -31.0  984.5   13.5  204.0   79.6  444.0
2002 222  8 10 1900  444.0  444.0  444.0  444.0  444.0  444.0
2002 222  8 10 2000  -40.2  984.1    6.8   55.0   67.0  444.0
2002 222  8 10 2100  -41.9  983.1    1.9   49.0   64.9  444.0
2002 222  8 10 2200  -42.2  982.2    0.4   62.0   64.9  444.0
2002 222  8 10 2300  -42.6  981.1    1.8   18.0   64.1  444.0
2002 223  8 11 0000  -43.2  980.5    2.5   24.0   63.3  444.0
2002 223  8 11 0100  -43.6  979.8    2.7  134.0   62.8  444.0
2002 223  8 11 0200  444.0  444.0  444.0  444.0  444.0  444.0
2002 223  8 11 0300  -44.5  978.5    0.2  269.0   61.6  444.0
2002 223  8 11 0400  -46.5  977.6    0.2  352.0   59.5  444.0
2002 223  8 11 0500  -47.8  977.2    0.2  221.0   57.8  444.0
2002 223  8 11 0600  -45.4  976.8    0.2  328.0   60.3  444.0
2002 223  8 11 0700  -48.5  976.6    0.2  262.0   56.5  444.0
2002 223  8 11 0800  -46.2  976.3    0.2  312.0   59.1  444.0
2002 223  8 11 0900  -48.9  976.1    0.2  325.0   54.9  444.0
2002 223  8 11 1000  -50.4  975.8    0.2  316.0   54.9  444.0
2002 223  8 11 1100  -49.2  975.7    0.2  288.0   56.5  444.0
2002 223  8 11 1200  -50.0  974.9    0.2  236.0   55.3  444.0
2002 223  8 11 1300  -47.4  974.4    0.2  226.0   58.2  444.0
2002 223  8 11 1400  -44.8  974.3    0.2  250.0   60.3  444.0
