Year: 2002  Month: 04  ID: HRB  ARGOS:  8697  Name: Herbie Alley        
Lat: 78.10S  Lon: 166.68E  Elev:   30m
2002 104  4 14 0500  -23.9  981.2    4.3   13.0   84.8  444.0
2002 104  4 14 0600  -25.1  981.6    3.1   51.0   84.8  444.0
2002 104  4 14 0700  -24.4  982.1    2.7  347.0   87.4  444.0
2002 104  4 14 0800  -24.5  982.4    2.3  347.0   88.8  444.0
2002 104  4 14 0900  -24.6  983.1    4.3   35.0   87.4  444.0
2002 104  4 14 1000  -24.2  983.5    3.9   39.0   87.0  444.0
2002 104  4 14 1100  -24.4  984.1    2.3   35.0   84.8  444.0
2002 104  4 14 1200  -24.4  984.3    2.9   25.0   87.9  444.0
2002 104  4 14 1300  -24.4  984.4    2.1   38.0   87.9  444.0
2002 104  4 14 1400  -25.1  984.8    1.2    7.0   87.9  444.0
2002 104  4 14 1500  -25.2  985.0    0.2  188.0   88.8  444.0
2002 104  4 14 1600  -24.9  985.1    0.6  231.0   89.6  444.0
2002 104  4 14 1700  -25.6  984.9    0.8   52.0   87.9  444.0
2002 104  4 14 1800  -25.9  984.9    0.8   84.0   88.8  444.0
2002 104  4 14 1900  -25.9  985.1    1.6  347.0   87.9  444.0
2002 104  4 14 2000  -26.8  985.3    1.0   55.0   87.0  444.0
2002 104  4 14 2100  -27.0  985.4    1.4  347.0   86.1  444.0
2002 104  4 14 2200  -26.0  985.2    2.3   18.0   87.0  444.0
2002 104  4 14 2300  -25.5  985.1    1.2  166.0   87.9  444.0
2002 105  4 15 0000  -25.1  984.6    0.4  103.0   87.0  444.0
2002 105  4 15 0100  -25.2  984.0    0.2  325.0   82.2  444.0
2002 105  4 15 0200  -25.6  983.1    1.0   25.0   80.4  444.0
2002 105  4 15 0300  -27.9  982.9    1.9   91.0   80.4  444.0
2002 105  4 15 0400  -28.1  982.9    1.4   97.0   85.2  444.0
2002 105  4 15 0500  -28.1  982.9    3.5   28.0   85.7  444.0
2002 105  4 15 0600  -28.1  982.8    2.7    1.0   85.7  444.0
2002 105  4 15 0700  -27.1  982.8    1.2  187.0   86.1  444.0
2002 105  4 15 0800  -26.8  982.7    1.6  179.0   86.6  444.0
