Year: 2002  Month: 09  ID: HRB  ARGOS:  8697  Name: Herbie Alley        
Lat: 78.10S  Lon: 166.68E  Elev:   30m
2002 252  9  9 2300  -36.5  998.2    0.2  115.0   77.3  444.0
2002 253  9 10 0000  -38.0  998.2    0.2  146.0   75.6  444.0
2002 253  9 10 0100  -37.6  998.0    0.2  159.0   74.7  444.0
2002 253  9 10 0200  -38.0  997.8    3.1  139.0   73.4  444.0
2002 253  9 10 0300  -36.5  997.7    2.3  323.0   74.2  444.0
2002 253  9 10 0400  -40.1  998.1    1.2  256.0   69.4  444.0
2002 253  9 10 0500  -39.8  998.0    2.3  155.0   69.8  444.0
2002 253  9 10 0600  -39.2  998.1    1.6   53.0   69.8  444.0
2002 253  9 10 0700  -39.1  998.1    0.0    0.0   69.0  444.0
2002 253  9 10 0800  -38.5  998.1    0.8   37.0   71.2  444.0
2002 253  9 10 0900  -39.1  997.9    1.4   44.0   69.8  444.0
2002 253  9 10 1000  -39.1  997.9    1.0  304.0   69.4  444.0
2002 253  9 10 1100  -41.2  997.9    1.0   59.0   66.8  444.0
2002 253  9 10 1200  444.0  444.0  444.0  444.0  444.0  444.0
2002 253  9 10 1300  -37.6  997.5    1.6   21.0   71.6  444.0
2002 253  9 10 1400  -38.5  997.1    2.3  329.0   69.4  444.0
2002 253  9 10 1500  -41.2  997.1    2.5  202.0   66.8  444.0
2002 253  9 10 1600  -41.2  996.7    0.0    0.0   66.3  444.0
2002 253  9 10 1700  444.0  444.0  444.0  444.0  444.0  444.0
2002 253  9 10 1800  -38.2  996.3    1.2  295.0   69.4  444.0
2002 253  9 10 1900  -40.8  996.3    0.2  311.0   66.3  444.0
2002 253  9 10 2000  -40.4  996.4    0.4  339.0   67.2  444.0
2002 253  9 10 2100  -37.9  996.0    1.2  283.0   71.2  444.0
2002 253  9 10 2200  444.0  444.0  444.0  444.0  444.0  444.0
2002 253  9 10 2300  -37.8  995.6    0.2  231.0   74.2  444.0
2002 254  9 11 0000  444.0  444.0  444.0  444.0  444.0  444.0
2002 254  9 11 0100  -35.1  995.1    0.2  208.0   77.3  444.0
2002 254  9 11 0200  -36.5  995.0    0.4  210.0   74.7  444.0
2002 254  9 11 0300  -35.9  994.8    1.6   34.0   74.2  444.0
2002 254  9 11 0400  -33.0  994.4    0.2   25.0   77.8  444.0
2002 254  9 11 0500  444.0  444.0  444.0  444.0  444.0  444.0
2002 254  9 11 0600  -41.0  994.0    0.0    0.0   67.2  444.0
2002 254  9 11 0700  -41.9  993.9    2.1  343.0   65.9  444.0
2002 254  9 11 0800  -42.2  994.0    0.4  210.0   65.0  444.0
2002 254  9 11 0900  -40.2  993.3    0.8  291.0   66.8  444.0
2002 254  9 11 1000  444.0  444.0  444.0  444.0  444.0  444.0
2002 254  9 11 1100  -38.4  992.3    1.9  242.0   70.7  444.0
2002 254  9 11 1200  -39.9  991.9    0.2  270.0   68.1  444.0
2002 254  9 11 1300  -40.0  991.8    1.4  169.0   68.1  444.0
2002 254  9 11 1400  -40.1  991.1    0.2  287.0   67.6  444.0
2002 254  9 11 1500  444.0  444.0  444.0  444.0  444.0  444.0
2002 254  9 11 1600  -37.8  989.9    0.2  281.0   70.3  444.0
2002 254  9 11 1700  -34.8  989.6    1.6   34.0   74.2  444.0
2002 254  9 11 1800  -38.0  989.3    1.2  125.0   70.3  444.0
2002 254  9 11 1900  -38.1  988.5    1.8   93.0   70.3  444.0
2002 254  9 11 2000  444.0  444.0  444.0  444.0  444.0  444.0
2002 254  9 11 2100  -37.5  987.3    0.2  262.0   72.0  444.0
2002 254  9 11 2200  -31.5  986.8    1.0  336.0   79.5  444.0
2002 254  9 11 2300  -29.8  985.9    2.1  300.0   83.9  444.0
2002 255  9 12 0000  -27.5  984.9    2.3  330.0   85.2  444.0
2002 255  9 12 0100  -26.4  983.6    2.9  340.0   86.1  444.0
2002 255  9 12 0200  -26.2  982.8    4.7   10.0   86.1  444.0
2002 255  9 12 0300  444.0  444.0  444.0  444.0  444.0  444.0
2002 255  9 12 0400  -14.8  982.2    3.1  183.0  444.0  444.0
2002 255  9 12 0500  -11.4  978.7   19.1  207.0  444.0  444.0
2002 255  9 12 0600  -11.9  979.6   19.7  201.0  444.0  444.0
2002 255  9 12 0700  -12.0  979.9   19.5  210.0  444.0  444.0
2002 255  9 12 0800  -11.9  980.2   25.2  197.0  444.0  444.0
2002 255  9 12 0900  -11.9  981.3   16.4  194.0   98.0  444.0
2002 255  9 12 1000  -11.9  981.6   16.0  202.0   94.9  444.0
2002 255  9 12 1100  -12.6  981.3   21.3  197.0   98.9  444.0
2002 255  9 12 1200  -11.9  981.6   17.5  194.0   94.0  444.0
2002 255  9 12 1300  444.0  444.0  444.0  444.0  444.0  444.0
2002 255  9 12 1400  -11.6  981.2   24.4  211.0   96.2  444.0
2002 255  9 12 1500  -11.2  980.9   17.0  174.0   98.4  444.0
2002 255  9 12 1600  -10.8  982.4   16.8  172.0   98.9  444.0
2002 255  9 12 1700  -11.9  982.3   20.3  163.0  444.0  444.0
2002 255  9 12 1800  -11.2  982.9   11.7  186.0  444.0  444.0
2002 255  9 12 1900  -10.9  983.6    8.8  158.0   98.9  444.0
2002 255  9 12 2000  -10.1  982.3   13.8  188.0   96.2  444.0
2002 255  9 12 2100  -10.4  983.2    5.5  149.0   92.3  444.0
2002 255  9 12 2200  -10.0  982.8    7.0  160.0   89.6  444.0
2002 255  9 12 2300  -13.4  982.6    3.9  298.0   92.7  444.0
2002 256  9 13 0000  -12.0  982.0    2.7  314.0   87.9  444.0
2002 256  9 13 0100  -14.5  981.9    4.9  219.0   95.4  444.0
2002 256  9 13 0200  -11.6  981.2    3.5  260.0   70.3  444.0
2002 256  9 13 0300  -14.2  981.2    2.5  283.0   94.0  444.0
2002 256  9 13 0400  -15.0  980.6    4.7  260.0   96.2  444.0
2002 256  9 13 0500  -13.8  980.5    4.1  266.0   98.9  444.0
2002 256  9 13 0600  -17.4  980.4    0.6  127.0   99.3  444.0
2002 256  9 13 0700  -15.0  980.6    2.7  328.0   98.0  444.0
2002 256  9 13 0800  -17.5  981.3    2.3  134.0   98.0  444.0
2002 256  9 13 0900  -19.8  981.2    2.9  176.0   95.4  444.0
2002 256  9 13 1000  -22.2  981.7    2.9  345.0   92.7  444.0
2002 256  9 13 1100  -22.5  982.1    1.6  122.0   93.2  444.0
2002 256  9 13 1200  -21.2  981.7    5.1  347.0   94.0  444.0
2002 256  9 13 1300  -22.1  982.3    1.8  221.0   92.7  444.0
2002 256  9 13 1400  -20.2  982.4    1.9  122.0   95.4  444.0
2002 256  9 13 1500  -19.9  982.5    3.3  301.0   96.2  444.0
2002 256  9 13 1600  -17.4  983.2    0.6  103.0   98.9  444.0
2002 256  9 13 1700  -12.1  982.9    6.8  194.0   93.6  444.0
2002 256  9 13 1800  -11.5  982.5   11.1  212.0   83.5  444.0
2002 256  9 13 1900  -15.6  983.8    4.5  347.0   85.2  444.0
2002 256  9 13 2000  -11.8  983.7    3.7  333.0   74.7  444.0
2002 256  9 13 2100  -10.8  984.4    3.5  250.0   65.9  444.0
2002 256  9 13 2200  -11.1  984.6    2.7  233.0   70.7  444.0
2002 256  9 13 2300  -10.9  984.8    3.1  246.0   72.9  444.0
2002 257  9 14 0000  -11.6  984.6    9.6  205.0   85.7  444.0
2002 257  9 14 0100  -11.6  985.9    1.4  263.0   87.4  444.0
2002 257  9 14 0200  -10.6  986.3    5.3  236.0   79.1  444.0
2002 257  9 14 0300  -10.0  987.1    2.7  150.0   72.0  444.0
2002 257  9 14 0400  -11.6  987.6    5.7  125.0   92.7  444.0
2002 257  9 14 0500  -12.0  987.8    9.6  112.0   98.0  444.0
2002 257  9 14 0600  -11.0  988.2    8.2  139.0   99.8  444.0
2002 257  9 14 0700  -12.8  988.5    9.6  139.0   94.0  444.0
2002 257  9 14 0800  -13.6  989.2   10.5  143.0  444.0  444.0
2002 257  9 14 0900  -13.6  989.5    9.8  158.0  444.0  444.0
2002 257  9 14 1000  -14.5  989.6    8.4  152.0   99.3  444.0
