Year: 2002  Month: 07  ID: KIR  ARGOS:  8930  Name: Kirkwood Island     
Lat: 68.33S  Lon:  69.01W  Elev:   30m
2002 189  7  8 1600  -20.3  444.0   13.4  285.0   80.5  444.0
2002 189  7  8 1700  -16.3  444.0    7.0  306.0   82.8  444.0
2002 189  7  8 1800  -18.8  444.0   10.6  276.0   81.6  444.0
2002 189  7  8 1900  -17.8  444.0    2.7  342.0   82.5  444.0
2002 189  7  8 2000  -15.3  980.4    5.9  221.0   84.8  444.0
2002 189  7  8 2100  -17.4  444.0    7.0  252.0   82.6  444.0
2002 189  7  8 2200  444.0  444.0  444.0  444.0  444.0  444.0
2002 189  7  8 2300  -19.4  984.6    5.5  158.0   80.5  444.0
2002 190  7  9 0000  -19.9  444.0    4.9  156.0   80.5  444.0
2002 190  7  9 0100  -20.7  988.7    3.2  198.0   79.6  444.0
2002 190  7  9 0200  -21.7  444.0    2.2  173.0   78.8  444.0
2002 190  7  9 0300  444.0  444.0  444.0  444.0  444.0  444.0
2002 190  7  9 0400  -20.3  991.5    4.4  238.0   80.0  444.0
2002 190  7  9 0500  -20.3  444.0    4.5  247.0   80.2  444.0
2002 190  7  9 0600  -20.4  993.5    3.9  245.0   80.1  444.0
2002 190  7  9 0700  -20.2  444.0    3.1  232.0   80.3  444.0
2002 190  7  9 0800  444.0  444.0  444.0  444.0  444.0  444.0
2002 190  7  9 0900  -23.4  995.6    2.9  193.0   77.5  444.0
2002 190  7  9 1000  -23.3  444.0    4.5  237.0   77.2  444.0
2002 190  7  9 1100  -23.5  998.4    3.0  187.0   76.5  444.0
2002 190  7  9 1200  -23.8  444.0    1.9  206.0   76.7  444.0
2002 190  7  9 1300  444.0  444.0  444.0  444.0  444.0  444.0
2002 190  7  9 1400  -23.9 1000.4    2.8  166.0   77.6  444.0
2002 190  7  9 1500  444.0  444.0  444.0  444.0  444.0  444.0
2002 190  7  9 1600  -26.3  444.0    2.1  117.0   74.9  444.0
2002 190  7  9 1700  444.0  444.0  444.0  444.0  444.0  444.0
2002 190  7  9 1800  -25.9  444.0    0.7   87.0   74.5  444.0
2002 190  7  9 1900  -24.7  444.0    1.9   77.0   75.9  444.0
2002 190  7  9 2000  444.0  444.0  444.0  444.0  444.0  444.0
2002 190  7  9 2100  -18.5 1001.8    2.0   36.0   82.2  444.0
2002 190  7  9 2200  -14.8  444.0    6.0   22.0   85.5  444.0
2002 190  7  9 2300  -11.5 1001.1    5.9  356.0   88.2  444.0
2002 191  7 10 0000   -9.8  444.0    8.5  314.0   90.0  444.0
2002 191  7 10 0100  444.0  444.0  444.0  444.0  444.0  444.0
2002 191  7 10 0200   -9.1  999.7    9.1  319.0   90.3  444.0
2002 191  7 10 0300   -8.9  444.0    8.6  331.0   90.6  444.0
2002 191  7 10 0400   -8.7  998.4    9.3  335.0   90.8  444.0
2002 191  7 10 0500   -8.6  444.0   11.6  341.0   91.0  444.0
2002 191  7 10 0600   -8.8  997.0   12.3  326.0   90.8  444.0
2002 191  7 10 0700   -8.7  444.0   12.1  340.0   91.0  444.0
2002 191  7 10 0800   -8.2  444.0   12.0  349.0   91.4  444.0
2002 191  7 10 0900   -7.6  994.2   10.5  343.0   92.0  444.0
2002 191  7 10 1000   -7.2  444.0   11.1  347.0   92.3  444.0
2002 191  7 10 1100  444.0  444.0  444.0  444.0  444.0  444.0
2002 191  7 10 1200   -5.9  991.5    8.7  346.0   93.5  444.0
2002 191  7 10 1300   -5.5  444.0   10.4  337.0   93.9  444.0
2002 191  7 10 1400   -5.0  990.1   10.8  299.0   94.1  444.0
2002 191  7 10 1500   -4.7  444.0   10.9  326.0   94.4  444.0
2002 191  7 10 1600   -4.4  988.0   11.4  323.0   94.7  444.0
2002 191  7 10 1700   -4.2  444.0   11.6  337.0   94.9  444.0
2002 191  7 10 1800   -3.9  986.6   11.8  328.0   95.0  444.0
2002 191  7 10 1900   -3.8  444.0   11.0  312.0   95.0  444.0
2002 191  7 10 2000   -3.9  444.0   10.9  318.0   94.8  444.0
2002 191  7 10 2100   -4.8  985.3   10.5  310.0   94.3  444.0
2002 191  7 10 2200   -5.2  444.0    9.3  310.0   94.0  444.0
2002 191  7 10 2300   -5.3  984.6    8.1  302.0   93.9  444.0
2002 192  7 11 0000   -5.4  444.0    7.7  302.0   93.8  444.0
2002 192  7 11 0100   -5.7  444.0    7.8  308.0   93.6  444.0
2002 192  7 11 0200   -6.3  983.2    6.5  275.0   92.6  444.0
2002 192  7 11 0300   -8.6  444.0    6.4  278.0   91.1  444.0
2002 192  7 11 0400   -9.0  982.5    5.0  291.0   90.8  444.0
2002 192  7 11 0500   -9.2  444.0    4.9  297.0   90.4  444.0
2002 192  7 11 0600   -9.8  444.0    1.9  313.0   90.1  444.0
2002 192  7 11 0700   -9.6  981.1    1.8  303.0   90.3  444.0
2002 192  7 11 0800   -9.2  980.4    0.9   50.0   90.6  444.0
2002 192  7 11 0900   -8.9  979.7    0.6  188.0   90.8  444.0
2002 192  7 11 1000   -8.4  979.1    1.3  129.0   91.2  444.0
2002 192  7 11 1100  -10.6  444.0    5.3  177.0   89.1  444.0
2002 192  7 11 1200  444.0  444.0  444.0  444.0  444.0  444.0
2002 192  7 11 1300  -10.6  975.6    6.1  130.0   89.1  444.0
2002 192  7 11 1400  444.0  444.0  444.0  444.0  444.0  444.0
2002 192  7 11 1500  -10.6  973.5    5.2  133.0   88.9  444.0
2002 192  7 11 1600  -11.8  972.9    5.8  138.0   88.1  444.0
2002 192  7 11 1700  -10.9  444.0    6.5  152.0   90.6  444.0
2002 192  7 11 1800  444.0  444.0  444.0  444.0  444.0  444.0
2002 192  7 11 1900  -12.5  969.4    6.7  135.0   87.7  444.0
2002 192  7 11 2000  -12.2  968.0    4.4  133.0   87.8  444.0
2002 192  7 11 2100  -11.0  967.3    5.4  115.0   89.5  444.0
2002 192  7 11 2200   -7.9  444.0    6.9   97.0   92.3  444.0
2002 192  7 11 2300   -7.3  444.0    4.9  103.0   92.1  444.0
2002 193  7 12 0000   -4.7  963.9    6.0   63.0   93.9  444.0
2002 193  7 12 0100   -4.8  963.2    1.4   48.0   94.0  444.0
2002 193  7 12 0200   -7.2  963.2    2.2  341.0   92.8  444.0
2002 193  7 12 0300   -6.4  444.0    5.5   15.0   93.2  444.0
2002 193  7 12 0400   -5.3  444.0    7.4   18.0   93.9  444.0
2002 193  7 12 0500   -5.0  959.8    8.1   36.0   94.2  444.0
2002 193  7 12 0600   -4.6  958.4   10.7   66.0   94.6  444.0
2002 193  7 12 0700   -3.9  956.3   13.3   54.0   94.7  444.0
2002 193  7 12 0800   -4.4  444.0   17.5   42.0   94.2  444.0
2002 193  7 12 0900   -4.8  444.0   19.8   40.0   93.8  444.0
2002 193  7 12 1000  444.0  444.0  444.0  444.0  444.0  444.0
2002 193  7 12 1100  -16.2  955.6   12.1  284.0   84.1  444.0
2002 193  7 12 1200  444.0  444.0  444.0  444.0  444.0  444.0
2002 193  7 12 1300  -19.3  957.7   14.1  275.0   81.3  444.0
2002 193  7 12 1400  -20.1  444.0   10.7  279.0   80.6  444.0
2002 193  7 12 1500  -20.9  444.0   10.4  278.0   79.8  444.0
2002 193  7 12 1600  444.0  444.0  444.0  444.0  444.0  444.0
2002 193  7 12 1700  -23.4  444.0    6.2  298.0   77.4  444.0
2002 193  7 12 1800  444.0  444.0  444.0  444.0  444.0  444.0
2002 193  7 12 1900  -23.9  966.0    8.7  310.0   76.9  444.0
2002 193  7 12 2000  -24.3  444.0    6.9  290.0   76.5  444.0
2002 193  7 12 2100  -24.7  444.0    8.4  297.0   75.8  444.0
2002 193  7 12 2200  -26.2  444.0    6.0  296.0   74.4  444.0
2002 193  7 12 2300  -27.2  970.8    5.2  325.0   73.6  444.0
2002 194  7 13 0000  -26.4  971.5    6.0  309.0   74.3  444.0
2002 194  7 13 0100  -26.7  444.0    4.7  328.0   73.9  444.0
