Year: 2002  Month: 11  ID: PTM  ARGOS:  8909  Name: Port Martin         
Lat: 66.82S  Lon: 141.40E  Elev:   39m
2002 312 11  8 0200   -7.8  983.8  444.0  444.0   56.6  444.0
2002 312 11  8 0300   -7.1  984.6  444.0  444.0   56.6  444.0
2002 312 11  8 0400   -7.1  984.2  444.0  444.0   56.6  444.0
2002 312 11  8 0500   -7.0  983.3  444.0  444.0   56.6  444.0
2002 312 11  8 0600   -7.4  984.0  444.0  444.0   56.6  444.0
2002 312 11  8 0700   -7.8  984.0  444.0  444.0   57.1  444.0
2002 312 11  8 0800   -8.1  983.8  444.0  444.0   56.6  444.0
2002 312 11  8 0900   -8.9  984.4  444.0  444.0   57.1  444.0
2002 312 11  8 1000   -9.8  983.7  444.0  444.0   56.6  444.0
2002 312 11  8 1100  444.0  444.0  444.0  444.0  444.0  444.0
2002 312 11  8 1200  -11.5  984.4  444.0  444.0   55.3  444.0
2002 312 11  8 1300  -12.5  983.3  444.0  444.0   55.3  444.0
2002 312 11  8 1400  -12.8  985.1  444.0  444.0   54.9  444.0
2002 312 11  8 1500  -12.9  984.2  444.0  444.0   54.9  444.0
2002 312 11  8 1600  -13.5  984.9  444.0  444.0   54.9  444.0
2002 312 11  8 1700  -13.8  984.4  444.0  444.0   54.9  444.0
2002 312 11  8 1800  -13.9  985.2  444.0  444.0   54.4  444.0
2002 312 11  8 1900  -13.8  984.7  444.0  444.0   54.4  444.0
2002 312 11  8 2000  -13.0  984.3  444.0  444.0   54.9  444.0
2002 312 11  8 2100  -12.0  984.7  444.0  444.0   55.8  444.0
2002 312 11  8 2200  -11.2  984.6  444.0  444.0   54.9  444.0
2002 312 11  8 2300  -10.0  983.8  444.0  444.0   55.8  444.0
2002 313 11  9 0000  444.0  444.0  444.0  444.0  444.0  444.0
2002 313 11  9 0100   -9.2  984.6  444.0  444.0   55.3  444.0
2002 313 11  9 0200   -8.9  444.0  444.0  444.0   55.8  444.0
2002 313 11  9 0300   -8.2  982.8  444.0  444.0   55.8  444.0
2002 313 11  9 0400  444.0  444.0  444.0  444.0  444.0  444.0
2002 313 11  9 0500   -8.2  982.6  444.0  444.0   55.3  444.0
2002 313 11  9 0600   -8.8  981.7  444.0  444.0   56.2  444.0
2002 313 11  9 0700   -8.8  982.6  444.0  444.0   55.3  444.0
2002 313 11  9 0800   -9.1  982.8  444.0  444.0   55.3  444.0
2002 313 11  9 0900   -9.6  982.3  444.0  444.0   55.8  444.0
2002 313 11  9 1000  -10.1  983.7  444.0  444.0   55.3  444.0
2002 313 11  9 1100  -10.9  983.8  444.0  444.0   55.3  444.0
2002 313 11  9 1200  -11.8  983.7  444.0  444.0   54.9  444.0
2002 313 11  9 1300  -12.1  983.9  444.0  444.0   54.9  444.0
2002 313 11  9 1400  444.0  444.0  444.0  444.0  444.0  444.0
2002 313 11  9 1500  -13.4  983.7  444.0  444.0   54.4  444.0
2002 313 11  9 1600  -14.0  984.2  444.0  444.0   53.6  444.0
2002 313 11  9 1700  -14.4  983.9  444.0  444.0   53.6  444.0
2002 313 11  9 1800  -14.8  984.4  444.0  444.0   53.6  444.0
